 GMP  , Name galaxy     ,x,RA,y,Dec,Magnitude   ,Galaxy color     ,Velocity  ,Comment
50023,,195.0776667,195.0776667,27.92028889,28.92028889,18.732,1.479,6930,C1
50139,,194.7073333,194.7073333,27.91981389,28.91981389,18.916,1.558,18180,
50554,,194.8475417,194.8475417,27.91945556,28.91945556,17.274,1.661,6930,C1
51246,,194.8835417,194.8835417,27.92087778,28.92087778,17.661,1.487,6990,C1
51490,,194.6395,194.6395,27.92907222,28.92907222,19.505,0.92,39750,
51804,,194.9586667,194.9586667,27.92471944,28.92471944,15.853,1.726,9750,C1
51835,,195.1027083,195.1027083,27.93175833,28.93175833,18.955,1.81,73170,
52121,,195.152375,195.152375,27.931125,28.931125,18.617,1.42,5910,C1
52163,,194.9349583,194.9349583,27.91239722,28.91239722,14.183,1.55,6630,C1
52234,,194.8098333,194.8098333,27.93282222,28.93282222,17.704,2.046,58710,
52380,,195.197375,195.197375,27.92203611,28.92203611,15.014,1.731,8610,C1
52689,,194.9859583,194.9859583,27.92994722,28.92994722,15.007,1.695,7680,C1
52731,,195.103375,195.103375,27.92657778,28.92657778,16.777,1.624,7980,C1
52957,,194.9314167,194.9314167,27.93883056,28.93883056,19.227,1.668,7140,C1
53322,,194.7477917,194.7477917,27.93440833,28.93440833,16.636,1.64,5490,C1
53492,,194.6429167,194.6429167,27.93961944,28.93961944,18.186,1.363,11400,
53660,,195.1857083,195.1857083,27.94257222,28.94257222,17.948,2.473,73650,
53697,,195.1474583,195.1474583,27.94274444,28.94274444,16.996,1.49,6930,C1
54235,,194.66075,194.66075,27.943175,28.943175,17.356,2.147,47040,
55124,,194.766375,194.766375,27.94548333,28.94548333,18.556,2.477,74790,
55373,,194.8227917,194.8227917,27.95468611,28.95468611,19.146,1.656,47640,
55574,,194.7407917,194.7407917,27.95560556,28.95560556,19.223,1.595,5910,C1
56019,,194.66225,194.66225,27.95380556,28.95380556,16.315,1.398,5970,C1
56231,,195.1164583,195.1164583,27.95591111,28.95591111,14.99,1.547,6990,C1
56316,,195.0943333,195.0943333,27.96508333,28.96508333,18.616,1.561,5220,C1
56514,,195.1783333,195.1783333,27.96291667,28.96291667,14.722,1.717,8430,C1
56790,,194.8467083,194.8467083,27.96884444,28.96884444,19.08,1.494,74820,
56956,,194.9340833,194.9340833,27.95834444,28.95834444,15.37,1.478,6870,
57131,,194.7502083,194.7502083,27.96741667,28.96741667,15.518,1.592,8280,C1
57183,,194.9177083,194.9177083,27.96816667,28.96816667,15.804,1.522,7680,C1
57244,,194.8554583,194.8554583,27.96788333,28.96788333,15.293,1.518,7710,C1
57356,,194.6762083,194.6762083,27.97204444,28.97204444,18.398,1.499,6330,C1
57916,,194.832125,194.832125,27.97345278,28.97345278,17.04,1.531,7200,C1
58030,,194.8747917,194.8747917,27.95634167,28.95634167,13.938,1.614,6810,C1
58193,,195.06875,195.06875,27.96739722,28.96739722,14.811,1.485,4650,C1
58318,,194.8195,194.8195,27.98248056,28.98248056,19.02,1.581,7200,C1
58432,,194.8468333,194.8468333,27.98191111,28.98191111,19.157,1.63,8880,C1
58548,,195.1801667,195.1801667,27.98574167,28.98574167,19.784,0.964,49590,
58709,,195.0255417,195.0255417,27.97815278,28.97815278,14.088,1.502,7620,C1
58764,,194.9523333,194.9523333,27.98272222,28.98272222,17.674,1.318,5310,C1
58798,,195.178,195.178,27.97121389,28.97121389,13.867,1.737,6360,C1
59444,,194.8598333,194.8598333,27.98838333,28.98838333,18.575,1.558,114300,
59516,,194.8175833,194.8175833,27.98629722,28.98629722,17.202,2.005,47520,
59565,,195.193,195.193,27.99443889,28.99443889,18.669,1.744,81930,
59610,,195.0040417,195.0040417,27.991575,28.991575,18.083,1.616,7470,C1
59782,,195.0841667,195.0841667,27.99369167,28.99369167,18.894,1.442,111780,
60593,,194.9455,194.9455,27.99181667,28.99181667,17.362,1.455,8490,C1
60680,,194.9094583,194.9094583,27.98709167,28.98709167,15.546,1.538,6990,C1
60888,,194.908125,194.908125,28.00093889,29.00093889,16.619,1.506,4890,C1
61500,,194.8864167,194.8864167,27.98354167,28.98354167,14.201,1.444,5850,C1
61505,,194.76,194.76,28.00582222,29.00582222,18.981,1.4,7980,C1
61692,,194.7116667,194.7116667,28.00690278,29.00690278,17.357,1.547,7380,C1
